SubjectNum,age,gender,education,location,income,question,reward,Headline_Morality,Headline_Veracity,Headline_id,credibility,Difficulty,familiarity,importance,morality,group
1,21,2,4,3,3,moral_fake_item1,4,moral,fake,1,4,3,3,2,5,Control
1,21,2,4,3,3,moral_fake_item2,4,moral,fake,2,2,3,3,2,5,Control
1,21,2,4,3,3,moral_fake_item3,5,moral,fake,3,1,3,4,1,3,Control
1,21,2,4,3,3,moral_real_item4,4,moral,real,4,5,1,5,1,5,Control
1,21,2,4,3,3,moral_real_item5,4,moral,real,5,2,3,3,1,3,Control
1,21,2,4,3,3,moral_real_item6,2,moral,real,6,4,1,3,4,5,Control
1,21,2,4,3,3,immoral_fake_item7,3,immoral,fake,7,1,2,4,2,1,Control
1,21,2,4,3,3,immoral_fake_item8,3,immoral,fake,8,2,2,4,2,1,Control
1,21,2,4,3,3,immoral_fake_item9,1,immoral,fake,9,4,2,4,5,1,Control
1,21,2,4,3,3,immoral_real_item10,4,immoral,real,10,4,3,4,2,1,Control
1,21,2,4,3,3,immoral_real_item11,2,immoral,real,11,5,1,4,5,2,Control
1,21,2,4,3,3,immoral_real_item12,6,immoral,real,12,3,3,5,1,1,Control
2,25,2,4,1,2,moral_fake_item1,5,moral,fake,1,5,1,4,3,5,Control
2,25,2,4,1,2,moral_fake_item2,6,moral,fake,2,5,1,3,1,5,Control
2,25,2,4,1,2,moral_fake_item3,5,moral,fake,3,4,1,2,1,5,Control
2,25,2,4,1,2,moral_real_item4,6,moral,real,4,5,1,1,1,5,Control
2,25,2,4,1,2,moral_real_item5,2,moral,real,5,4,3,2,3,3,Control
2,25,2,4,1,2,moral_real_item6,6,moral,real,6,4,1,4,1,5,Control
2,25,2,4,1,2,immoral_fake_item7,1,immoral,fake,7,2,3,1,1,1,Control
2,25,2,4,1,2,immoral_fake_item8,2,immoral,fake,8,3,2,2,2,1,Control
2,25,2,4,1,2,immoral_fake_item9,3,immoral,fake,9,5,1,3,3,1,Control
2,25,2,4,1,2,immoral_real_item10,3,immoral,real,10,4,1,2,3,1,Control
2,25,2,4,1,2,immoral_real_item11,2,immoral,real,11,4,2,2,2,1,Control
2,25,2,4,1,2,immoral_real_item12,3,immoral,real,12,4,2,2,1,1,Control
3,18,2,4,1,7,moral_fake_item1,1,moral,fake,1,4,2,4,5,5,Control
3,18,2,4,1,7,moral_fake_item2,2,moral,fake,2,3,1,3,4,4,Control
3,18,2,4,1,7,moral_fake_item3,2,moral,fake,3,4,1,4,4,5,Control
3,18,2,4,1,7,moral_real_item4,3,moral,real,4,4,2,4,3,4,Control
3,18,2,4,1,7,moral_real_item5,3,moral,real,5,4,3,2,3,3,Control
3,18,2,4,1,7,moral_real_item6,4,moral,real,6,4,2,3,3,4,Control
3,18,2,4,1,7,immoral_fake_item7,2,immoral,fake,7,3,2,3,3,1,Control
3,18,2,4,1,7,immoral_fake_item8,1,immoral,fake,8,4,2,4,5,1,Control
3,18,2,4,1,7,immoral_fake_item9,3,immoral,fake,9,3,2,3,3,1,Control
3,18,2,4,1,7,immoral_real_item10,4,immoral,real,10,3,2,4,3,2,Control
3,18,2,4,1,7,immoral_real_item11,5,immoral,real,11,4,1,3,4,2,Control
3,18,2,4,1,7,immoral_real_item12,3,immoral,real,12,4,2,3,3,1,Control
4,20,2,4,3,6,moral_fake_item1,1,moral,fake,1,5,3,3,3,5,Control
4,20,2,4,3,6,moral_fake_item2,6,moral,fake,2,3,3,4,3,5,Control
4,20,2,4,3,6,moral_fake_item3,6,moral,fake,3,3,3,3,3,4,Control
4,20,2,4,3,6,moral_real_item4,6,moral,real,4,5,1,3,3,5,Control
4,20,2,4,3,6,moral_real_item5,6,moral,real,5,5,1,3,3,5,Control
4,20,2,4,3,6,moral_real_item6,6,moral,real,6,3,4,3,3,5,Control
4,20,2,4,3,6,immoral_fake_item7,6,immoral,fake,7,3,3,1,3,1,Control
4,20,2,4,3,6,immoral_fake_item8,6,immoral,fake,8,5,3,3,3,1,Control
4,20,2,4,3,6,immoral_fake_item9,6,immoral,fake,9,3,3,3,3,1,Control
4,20,2,4,3,6,immoral_real_item10,6,immoral,real,10,5,5,3,3,1,Control
4,20,2,4,3,6,immoral_real_item11,6,immoral,real,11,4,3,2,3,1,Control
4,20,2,4,3,6,immoral_real_item12,6,immoral,real,12,3,3,3,3,1,Control
5,21,2,4,2,6,moral_fake_item1,3,moral,fake,1,5,2,3,2,5,Control
5,21,2,4,2,6,moral_fake_item2,3,moral,fake,2,4,2,1,2,5,Control
5,21,2,4,2,6,moral_fake_item3,6,moral,fake,3,4,4,3,1,5,Control
5,21,2,4,2,6,moral_real_item4,4,moral,real,4,5,2,1,1,5,Control
5,21,2,4,2,6,moral_real_item5,4,moral,real,5,4,3,1,1,5,Control
5,21,2,4,2,6,moral_real_item6,1,moral,real,6,5,3,1,1,5,Control
5,21,2,4,2,6,immoral_fake_item7,1,immoral,fake,7,3,3,1,3,1,Control
5,21,2,4,2,6,immoral_fake_item8,2,immoral,fake,8,4,3,2,2,1,Control
5,21,2,4,2,6,immoral_fake_item9,1,immoral,fake,9,3,3,4,3,1,Control
5,21,2,4,2,6,immoral_real_item10,3,immoral,real,10,3,3,3,2,1,Control
5,21,2,4,2,6,immoral_real_item11,1,immoral,real,11,4,3,2,4,1,Control
5,21,2,4,2,6,immoral_real_item12,1,immoral,real,12,4,4,3,3,1,Control
6,23,2,4,3,3,moral_fake_item1,6,moral,fake,1,5,1,1,4,5,Control
6,23,2,4,3,3,moral_fake_item2,2,moral,fake,2,5,1,4,5,5,Control
6,23,2,4,3,3,moral_fake_item3,3,moral,fake,3,1,1,1,1,3,Control
6,23,2,4,3,3,moral_real_item4,4,moral,real,4,5,1,5,5,5,Control
6,23,2,4,3,3,moral_real_item5,4,moral,real,5,2,4,1,5,5,Control
6,23,2,4,3,3,moral_real_item6,1,moral,real,6,5,1,2,5,5,Control
6,23,2,4,3,3,immoral_fake_item7,6,immoral,fake,7,1,5,1,3,1,Control
6,23,2,4,3,3,immoral_fake_item8,3,immoral,fake,8,4,3,4,3,1,Control
6,23,2,4,3,3,immoral_fake_item9,1,immoral,fake,9,4,4,4,4,1,Control
6,23,2,4,3,3,immoral_real_item10,6,immoral,real,10,5,2,5,5,1,Control
6,23,2,4,3,3,immoral_real_item11,6,immoral,real,11,5,1,3,3,1,Control
6,23,2,4,3,3,immoral_real_item12,6,immoral,real,12,5,1,5,4,1,Control
7,24,1,4,5,1,moral_fake_item1,1,moral,fake,1,4,4,3,4,4,Control
7,24,1,4,5,1,moral_fake_item2,5,moral,fake,2,3,1,2,2,4,Control
7,24,1,4,5,1,moral_fake_item3,1,moral,fake,3,4,3,3,4,4,Control
7,24,1,4,5,1,moral_real_item4,1,moral,real,4,3,5,3,4,4,Control
7,24,1,4,5,1,moral_real_item5,5,moral,real,5,4,3,3,3,3,Control
7,24,1,4,5,1,moral_real_item6,4,moral,real,6,4,1,3,3,4,Control
7,24,1,4,5,1,immoral_fake_item7,5,immoral,fake,7,2,4,2,3,3,Control
7,24,1,4,5,1,immoral_fake_item8,4,immoral,fake,8,2,3,2,4,2,Control
7,24,1,4,5,1,immoral_fake_item9,2,immoral,fake,9,3,1,3,4,2,Control
7,24,1,4,5,1,immoral_real_item10,6,immoral,real,10,4,2,3,4,2,Control
7,24,1,4,5,1,immoral_real_item11,3,immoral,real,11,2,4,4,3,2,Control
7,24,1,4,5,1,immoral_real_item12,4,immoral,real,12,3,2,4,3,2,Control
8,25,2,5,2,3,moral_fake_item1,6,moral,fake,1,3,4,1,1,3,Control
8,25,2,5,2,3,moral_fake_item2,3,moral,fake,2,3,3,1,2,5,Control
8,25,2,5,2,3,moral_fake_item3,5,moral,fake,3,4,4,1,2,3,Control
8,25,2,5,2,3,moral_real_item4,6,moral,real,4,4,4,1,1,5,Control
8,25,2,5,2,3,moral_real_item5,4,moral,real,5,4,2,1,3,5,Control
8,25,2,5,2,3,moral_real_item6,4,moral,real,6,3,3,1,1,5,Control
8,25,2,5,2,3,immoral_fake_item7,5,immoral,fake,7,2,4,1,1,1,Control
8,25,2,5,2,3,immoral_fake_item8,5,immoral,fake,8,2,3,1,2,1,Control
8,25,2,5,2,3,immoral_fake_item9,6,immoral,fake,9,3,3,1,2,1,Control
8,25,2,5,2,3,immoral_real_item10,6,immoral,real,10,4,4,3,2,1,Control
8,25,2,5,2,3,immoral_real_item11,4,immoral,real,11,5,3,3,3,1,Control
8,25,2,5,2,3,immoral_real_item12,6,immoral,real,12,3,3,1,1,1,Control
9,21,2,4,1,3,moral_fake_item1,2,moral,fake,1,5,1,2,4,5,Control
9,21,2,4,1,3,moral_fake_item2,1,moral,fake,2,4,1,3,4,5,Control
9,21,2,4,1,3,moral_fake_item3,3,moral,fake,3,4,2,2,2,4,Control
9,21,2,4,1,3,moral_real_item4,2,moral,real,4,4,4,3,3,3,Control
9,21,2,4,1,3,moral_real_item5,1,moral,real,5,4,2,2,5,3,Control
9,21,2,4,1,3,moral_real_item6,2,moral,real,6,4,1,2,3,5,Control
9,21,2,4,1,3,immoral_fake_item7,2,immoral,fake,7,4,2,1,3,1,Control
9,21,2,4,1,3,immoral_fake_item8,2,immoral,fake,8,3,4,2,5,1,Control
9,21,2,4,1,3,immoral_fake_item9,2,immoral,fake,9,3,3,2,4,2,Control
9,21,2,4,1,3,immoral_real_item10,2,immoral,real,10,4,2,3,4,2,Control
9,21,2,4,1,3,immoral_real_item11,1,immoral,real,11,4,3,3,5,1,Control
9,21,2,4,1,3,immoral_real_item12,1,immoral,real,12,4,2,3,3,1,Control
10,19,1,4,2,4,moral_fake_item1,2,moral,fake,1,4,1,4,4,5,Control
10,19,1,4,2,4,moral_fake_item2,3,moral,fake,2,4,1,3,4,5,Control
10,19,1,4,2,4,moral_fake_item3,4,moral,fake,3,3,2,3,4,5,Control
10,19,1,4,2,4,moral_real_item4,3,moral,real,4,5,2,3,3,4,Control
10,19,1,4,2,4,moral_real_item5,2,moral,real,5,4,2,3,4,4,Control
10,19,1,4,2,4,moral_real_item6,3,moral,real,6,4,1,2,3,4,Control
10,19,1,4,2,4,immoral_fake_item7,5,immoral,fake,7,4,1,3,4,1,Control
10,19,1,4,2,4,immoral_fake_item8,2,immoral,fake,8,3,2,3,3,1,Control
10,19,1,4,2,4,immoral_fake_item9,2,immoral,fake,9,3,1,2,4,1,Control
10,19,1,4,2,4,immoral_real_item10,2,immoral,real,10,4,2,4,4,1,Control
10,19,1,4,2,4,immoral_real_item11,4,immoral,real,11,3,2,2,3,1,Control
10,19,1,4,2,4,immoral_real_item12,3,immoral,real,12,4,1,3,4,1,Control
11,20,2,4,2,5,moral_fake_item1,2,moral,fake,1,4,4,3,4,5,Control
11,20,2,4,2,5,moral_fake_item2,2,moral,fake,2,3,4,5,4,5,Control
11,20,2,4,2,5,moral_fake_item3,4,moral,fake,3,1,5,4,2,4,Control
11,20,2,4,2,5,moral_real_item4,4,moral,real,4,3,4,1,3,3,Control
11,20,2,4,2,5,moral_real_item5,2,moral,real,5,4,3,3,5,3,Control
11,20,2,4,2,5,moral_real_item6,3,moral,real,6,3,5,4,4,3,Control
11,20,2,4,2,5,immoral_fake_item7,3,immoral,fake,7,3,4,4,5,1,Control
11,20,2,4,2,5,immoral_fake_item8,2,immoral,fake,8,2,5,3,5,1,Control
11,20,2,4,2,5,immoral_fake_item9,2,immoral,fake,9,1,5,4,5,1,Control
11,20,2,4,2,5,immoral_real_item10,5,immoral,real,10,3,2,4,3,1,Control
11,20,2,4,2,5,immoral_real_item11,4,immoral,real,11,2,4,4,5,2,Control
11,20,2,4,2,5,immoral_real_item12,5,immoral,real,12,4,5,4,4,1,Control
12,21,2,4,1,1,moral_fake_item1,1,moral,fake,1,4,2,4,4,5,Control
12,21,2,4,1,1,moral_fake_item2,1,moral,fake,2,3,3,3,3,4,Control
12,21,2,4,1,1,moral_fake_item3,2,moral,fake,3,3,4,3,3,4,Control
12,21,2,4,1,1,moral_real_item4,2,moral,real,4,4,3,3,4,4,Control
12,21,2,4,1,1,moral_real_item5,1,moral,real,5,4,3,3,4,4,Control
12,21,2,4,1,1,moral_real_item6,1,moral,real,6,4,4,4,3,4,Control
12,21,2,4,1,1,immoral_fake_item7,2,immoral,fake,7,3,4,2,2,1,Control
12,21,2,4,1,1,immoral_fake_item8,6,immoral,fake,8,2,4,3,2,3,Control
12,21,2,4,1,1,immoral_fake_item9,1,immoral,fake,9,3,4,2,3,1,Control
12,21,2,4,1,1,immoral_real_item10,2,immoral,real,10,4,4,3,4,2,Control
12,21,2,4,1,1,immoral_real_item11,6,immoral,real,11,3,4,2,3,1,Control
12,21,2,4,1,1,immoral_real_item12,6,immoral,real,12,3,4,2,2,1,Control
13,20,2,4,3,5,moral_fake_item1,1,moral,fake,1,4,2,5,5,5,Control
13,20,2,4,3,5,moral_fake_item2,5,moral,fake,2,3,1,1,1,4,Control
13,20,2,4,3,5,moral_fake_item3,1,moral,fake,3,3,3,3,4,4,Control
13,20,2,4,3,5,moral_real_item4,1,moral,real,4,5,1,5,5,5,Control
13,20,2,4,3,5,moral_real_item5,1,moral,real,5,4,2,4,5,5,Control
13,20,2,4,3,5,moral_real_item6,1,moral,real,6,5,1,5,4,5,Control
13,20,2,4,3,5,immoral_fake_item7,6,immoral,fake,7,3,3,1,1,1,Control
13,20,2,4,3,5,immoral_fake_item8,3,immoral,fake,8,3,4,4,5,1,Control
13,20,2,4,3,5,immoral_fake_item9,4,immoral,fake,9,4,3,5,4,1,Control
13,20,2,4,3,5,immoral_real_item10,1,immoral,real,10,4,3,5,5,1,Control
13,20,2,4,3,5,immoral_real_item11,6,immoral,real,11,3,4,1,1,3,Control
13,20,2,4,3,5,immoral_real_item12,5,immoral,real,12,1,4,1,1,1,Control
14,25,2,4,1,6,moral_fake_item1,6,moral,fake,1,4,5,4,3,5,Control
14,25,2,4,1,6,moral_fake_item2,6,moral,fake,2,4,5,5,4,4,Control
14,25,2,4,1,6,moral_fake_item3,6,moral,fake,3,4,5,5,4,4,Control
14,25,2,4,1,6,moral_real_item4,4,moral,real,4,4,3,4,3,5,Control
14,25,2,4,1,6,moral_real_item5,6,moral,real,5,3,3,4,5,4,Control
14,25,2,4,1,6,moral_real_item6,5,moral,real,6,4,3,4,3,5,Control
14,25,2,4,1,6,immoral_fake_item7,3,immoral,fake,7,4,3,4,3,5,Control
14,25,2,4,1,6,immoral_fake_item8,6,immoral,fake,8,4,2,5,4,4,Control
14,25,2,4,1,6,immoral_fake_item9,6,immoral,fake,9,3,3,5,4,4,Control
14,25,2,4,1,6,immoral_real_item10,5,immoral,real,10,5,3,3,4,4,Control
14,25,2,4,1,6,immoral_real_item11,4,immoral,real,11,5,3,3,4,4,Control
14,25,2,4,1,6,immoral_real_item12,6,immoral,real,12,4,5,4,4,5,Control
15,20,1,4,3,4,moral_fake_item1,4,moral,fake,1,5,1,5,4,4,Control
15,20,1,4,3,4,moral_fake_item2,5,moral,fake,2,5,1,4,4,5,Control
15,20,1,4,3,4,moral_fake_item3,4,moral,fake,3,5,2,5,5,5,Control
15,20,1,4,3,4,moral_real_item4,4,moral,real,4,5,1,4,3,5,Control
15,20,1,4,3,4,moral_real_item5,4,moral,real,5,5,1,3,3,4,Control
15,20,1,4,3,4,moral_real_item6,3,moral,real,6,4,2,3,4,3,Control
15,20,1,4,3,4,immoral_fake_item7,6,immoral,fake,7,5,1,4,5,1,Control
15,20,1,4,3,4,immoral_fake_item8,5,immoral,fake,8,5,1,4,5,1,Control
15,20,1,4,3,4,immoral_fake_item9,6,immoral,fake,9,5,1,5,4,1,Control
15,20,1,4,3,4,immoral_real_item10,5,immoral,real,10,5,1,4,4,1,Control
15,20,1,4,3,4,immoral_real_item11,5,immoral,real,11,5,1,5,4,1,Control
15,20,1,4,3,4,immoral_real_item12,6,immoral,real,12,4,1,4,5,1,Control
16,25,2,4,3,7,moral_fake_item1,5,moral,fake,1,5,1,3,5,5,Control
16,25,2,4,3,7,moral_fake_item2,5,moral,fake,2,3,3,3,4,4,Control
16,25,2,4,3,7,moral_fake_item3,6,moral,fake,3,2,4,2,3,4,Control
16,25,2,4,3,7,moral_real_item4,6,moral,real,4,4,4,3,4,4,Control
16,25,2,4,3,7,moral_real_item5,3,moral,real,5,2,3,2,3,4,Control
16,25,2,4,3,7,moral_real_item6,5,moral,real,6,3,4,2,4,3,Control
16,25,2,4,3,7,immoral_fake_item7,6,immoral,fake,7,1,3,1,5,1,Control
16,25,2,4,3,7,immoral_fake_item8,4,immoral,fake,8,4,5,3,5,1,Control
16,25,2,4,3,7,immoral_fake_item9,4,immoral,fake,9,3,2,4,3,1,Control
16,25,2,4,3,7,immoral_real_item10,6,immoral,real,10,5,4,4,3,1,Control
16,25,2,4,3,7,immoral_real_item11,6,immoral,real,11,4,3,3,4,1,Control
16,25,2,4,3,7,immoral_real_item12,6,immoral,real,12,4,3,3,4,1,Control
17,21,2,4,2,2,moral_fake_item1,1,moral,fake,1,4,4,4,4,4,Control
17,21,2,4,2,2,moral_fake_item2,2,moral,fake,2,2,2,2,2,4,Control
17,21,2,4,2,2,moral_fake_item3,3,moral,fake,3,3,2,2,2,3,Control
17,21,2,4,2,2,moral_real_item4,1,moral,real,4,4,4,4,4,3,Control
17,21,2,4,2,2,moral_real_item5,2,moral,real,5,3,2,1,2,4,Control
17,21,2,4,2,2,moral_real_item6,1,moral,real,6,4,3,3,3,4,Control
17,21,2,4,2,2,immoral_fake_item7,1,immoral,fake,7,3,2,4,4,2,Control
17,21,2,4,2,2,immoral_fake_item8,1,immoral,fake,8,4,4,4,4,1,Control
17,21,2,4,2,2,immoral_fake_item9,1,immoral,fake,9,3,2,2,3,2,Control
17,21,2,4,2,2,immoral_real_item10,4,immoral,real,10,4,4,4,3,2,Control
17,21,2,4,2,2,immoral_real_item11,6,immoral,real,11,4,4,4,2,1,Control
17,21,2,4,2,2,immoral_real_item12,2,immoral,real,12,4,4,3,3,2,Control
18,19,2,4,2,6,moral_fake_item1,1,moral,fake,1,3,1,3,4,5,Control
18,19,2,4,2,6,moral_fake_item2,3,moral,fake,2,4,1,3,3,5,Control
18,19,2,4,2,6,moral_fake_item3,1,moral,fake,3,3,3,3,2,3,Control
18,19,2,4,2,6,moral_real_item4,1,moral,real,4,4,3,3,3,3,Control
18,19,2,4,2,6,moral_real_item5,6,moral,real,5,3,1,4,2,1,Control
18,19,2,4,2,6,moral_real_item6,1,moral,real,6,3,3,3,4,4,Control
18,19,2,4,2,6,immoral_fake_item7,3,immoral,fake,7,3,1,3,3,2,Control
18,19,2,4,2,6,immoral_fake_item8,1,immoral,fake,8,3,1,3,4,3,Control
18,19,2,4,2,6,immoral_fake_item9,1,immoral,fake,9,2,3,3,3,3,Control
18,19,2,4,2,6,immoral_real_item10,6,immoral,real,10,2,3,3,2,3,Control
18,19,2,4,2,6,immoral_real_item11,6,immoral,real,11,3,3,1,2,3,Control
18,19,2,4,2,6,immoral_real_item12,6,immoral,real,12,4,3,3,1,2,Control
19,21,2,4,3,2,moral_fake_item1,2,moral,fake,1,4,2,4,4,4,Control
19,21,2,4,3,2,moral_fake_item2,4,moral,fake,2,4,2,2,3,3,Control
19,21,2,4,3,2,moral_fake_item3,5,moral,fake,3,2,2,4,4,4,Control
19,21,2,4,3,2,moral_real_item4,3,moral,real,4,4,2,2,2,4,Control
19,21,2,4,3,2,moral_real_item5,4,moral,real,5,4,4,2,2,3,Control
19,21,2,4,3,2,moral_real_item6,3,moral,real,6,4,2,4,4,4,Control
