Subnum,Sequence,Age,Sex,education,Location,Income,question,reward,group,Headline_Veracity,Headline_id,Sharelikelihood,Credibility,Difficulty,Familiarity,Importance,Morality
1,2,21,1,4,2,3,Real_Item1_Reward_Bversion,3,control,Real,1,6,6,1,4,5,6
1,2,21,1,4,2,3,Real_Item2_Reward_Bversion,2,control,Real,2,4,5,1,3,2,1
1,2,21,1,4,2,3,Real_Item3_Reward_Bversion,5,control,Real,3,5,5,2,5,6,2
1,2,21,1,4,2,3,Real_Item4_Reward_Bversion,3,control,Real,4,4,5,3,2,5,5
1,2,21,1,4,2,3,Real_Item5_Reward_Bversion,5,control,Real,5,5,5,2,1,5,6
1,2,21,1,4,2,3,Real_Item6_Reward_Bversion,4,control,Real,6,3,6,2,3,2,5
1,2,21,1,4,2,3,Real_Item7_Reward_Bversion,2,control,Real,7,5,6,1,5,5,6
1,2,21,1,4,2,3,Real_Item8_Reward_Bversion,3,control,Real,8,6,2,6,4,5,3
1,2,21,1,4,2,3,Real_Item9_Reward_Bversion,5,control,Real,9,5,1,6,1,2,2
1,2,21,1,4,2,3,Fake_Item10_Reward_Bversion,3,control,Fake,10,5,5,1,6,2,6
1,2,21,1,4,2,3,Fake_Item11_Reward_Bversion,1,control,Fake,11,5,5,4,5,2,4
1,2,21,1,4,2,3,Fake_Item12_Reward_Bversion,5,control,Fake,12,5,5,3,5,2,6
1,2,21,1,4,2,3,Fake_Item13_Reward_Bversion,5,control,Fake,13,2,2,5,4,1,1
1,2,21,1,4,2,3,Fake_Item14_Reward_Bversion,2,control,Fake,14,6,4,2,4,6,6
1,2,21,1,4,2,3,Fake_Item15_Reward_Bversion,6,control,Fake,15,6,2,5,2,4,4
1,2,21,1,4,2,3,Fake_Item16_Reward_Bversion,1,control,Fake,16,5,5,3,1,5,6
1,2,21,1,4,2,3,Fake_Item17_Reward_Bversion,1,control,Fake,17,6,2,5,5,4,4
1,2,21,1,4,2,3,Fake_Item18_Reward_Bversion,2,control,Fake,18,4,5,2,4,6,6
2,2,24,1,5,3,7,Real_Item1_Reward_Bversion,1,control,Real,1,5,5,6,5,5,3
2,2,24,1,5,3,7,Real_Item2_Reward_Bversion,2,control,Real,2,5,5,4,5,5,3
2,2,24,1,5,3,7,Real_Item3_Reward_Bversion,1,control,Real,3,5,6,5,5,6,5
2,2,24,1,5,3,7,Real_Item4_Reward_Bversion,1,control,Real,4,5,5,4,4,5,3
2,2,24,1,5,3,7,Real_Item5_Reward_Bversion,1,control,Real,5,5,4,5,4,5,5
2,2,24,1,5,3,7,Real_Item6_Reward_Bversion,1,control,Real,6,6,4,5,5,5,6
2,2,24,1,5,3,7,Real_Item7_Reward_Bversion,1,control,Real,7,6,6,5,2,2,3
2,2,24,1,5,3,7,Real_Item8_Reward_Bversion,1,control,Real,8,3,5,4,5,5,3
2,2,24,1,5,3,7,Real_Item9_Reward_Bversion,5,control,Real,9,4,6,5,4,5,5
2,2,24,1,5,3,7,Fake_Item10_Reward_Bversion,1,control,Fake,10,6,4,5,1,5,5
2,2,24,1,5,3,7,Fake_Item11_Reward_Bversion,2,control,Fake,11,5,5,5,4,5,4
2,2,24,1,5,3,7,Fake_Item12_Reward_Bversion,4,control,Fake,12,2,5,4,1,2,4
2,2,24,1,5,3,7,Fake_Item13_Reward_Bversion,3,control,Fake,13,6,5,4,4,3,5
2,2,24,1,5,3,7,Fake_Item14_Reward_Bversion,6,control,Fake,14,3,5,4,1,4,4
2,2,24,1,5,3,7,Fake_Item15_Reward_Bversion,1,control,Fake,15,5,6,5,5,4,4
2,2,24,1,5,3,7,Fake_Item16_Reward_Bversion,1,control,Fake,16,6,6,5,2,5,6
2,2,24,1,5,3,7,Fake_Item17_Reward_Bversion,1,control,Fake,17,5,5,4,5,4,2
2,2,24,1,5,3,7,Fake_Item18_Reward_Bversion,3,control,Fake,18,5,4,5,4,5,5
4,2,30,1,4,2,5,Real_Item1_Reward_Bversion,1,control,Real,1,6,6,1,5,6,1
4,2,30,1,4,2,5,Real_Item2_Reward_Bversion,1,control,Real,2,5,4,1,1,1,1
4,2,30,1,4,2,5,Real_Item3_Reward_Bversion,4,control,Real,3,5,5,1,5,6,1
4,2,30,1,4,2,5,Real_Item4_Reward_Bversion,1,control,Real,4,6,6,1,5,6,5
4,2,30,1,4,2,5,Real_Item5_Reward_Bversion,1,control,Real,5,5,5,1,4,6,6
4,2,30,1,4,2,5,Real_Item6_Reward_Bversion,1,control,Real,6,5,3,4,1,1,1
4,2,30,1,4,2,5,Real_Item7_Reward_Bversion,1,control,Real,7,6,5,1,5,6,6
4,2,30,1,4,2,5,Real_Item8_Reward_Bversion,1,control,Real,8,1,5,1,5,1,6
4,2,30,1,4,2,5,Real_Item9_Reward_Bversion,1,control,Real,9,6,5,1,5,6,6
4,2,30,1,4,2,5,Fake_Item10_Reward_Bversion,1,control,Fake,10,4,6,1,6,1,5
4,2,30,1,4,2,5,Fake_Item11_Reward_Bversion,1,control,Fake,11,6,3,1,1,1,1
4,2,30,1,4,2,5,Fake_Item12_Reward_Bversion,1,control,Fake,12,6,4,1,5,1,1
4,2,30,1,4,2,5,Fake_Item13_Reward_Bversion,1,control,Fake,13,1,3,1,1,1,1
4,2,30,1,4,2,5,Fake_Item14_Reward_Bversion,1,control,Fake,14,1,1,1,1,4,5
4,2,30,1,4,2,5,Fake_Item15_Reward_Bversion,1,control,Fake,15,5,5,1,6,5,5
4,2,30,1,4,2,5,Fake_Item16_Reward_Bversion,1,control,Fake,16,5,5,1,5,6,6
4,2,30,1,4,2,5,Fake_Item17_Reward_Bversion,1,control,Fake,17,5,1,6,1,1,1
4,2,30,1,4,2,5,Fake_Item18_Reward_Bversion,5,control,Fake,18,6,6,1,6,5,5
8,2,21,2,4,1,5,Real_Item1_Reward_Bversion,1,control,Real,1,6,1,1,5,6,6
8,2,21,2,4,1,5,Real_Item2_Reward_Bversion,1,control,Real,2,5,3,1,2,6,2
8,2,21,2,4,1,5,Real_Item3_Reward_Bversion,1,control,Real,3,6,6,1,5,6,6
8,2,21,2,4,1,5,Real_Item4_Reward_Bversion,1,control,Real,4,5,6,1,6,6,5
8,2,21,2,4,1,5,Real_Item5_Reward_Bversion,1,control,Real,5,6,6,1,6,5,6
8,2,21,2,4,1,5,Real_Item6_Reward_Bversion,1,control,Real,6,1,1,1,1,1,1
8,2,21,2,4,1,5,Real_Item7_Reward_Bversion,1,control,Real,7,6,6,1,5,6,6
8,2,21,2,4,1,5,Real_Item8_Reward_Bversion,1,control,Real,8,5,5,1,5,6,3
8,2,21,2,4,1,5,Real_Item9_Reward_Bversion,1,control,Real,9,6,5,1,6,6,6
8,2,21,2,4,1,5,Fake_Item10_Reward_Bversion,1,control,Fake,10,6,6,1,6,6,5
8,2,21,2,4,1,5,Fake_Item11_Reward_Bversion,1,control,Fake,11,1,1,1,2,1,5
8,2,21,2,4,1,5,Fake_Item12_Reward_Bversion,1,control,Fake,12,6,6,1,6,6,5
8,2,21,2,4,1,5,Fake_Item13_Reward_Bversion,1,control,Fake,13,1,4,1,6,6,5
8,2,21,2,4,1,5,Fake_Item14_Reward_Bversion,1,control,Fake,14,1,1,1,5,6,1
8,2,21,2,4,1,5,Fake_Item15_Reward_Bversion,1,control,Fake,15,6,6,1,6,6,5
8,2,21,2,4,1,5,Fake_Item16_Reward_Bversion,1,control,Fake,16,6,6,1,5,6,6
8,2,21,2,4,1,5,Fake_Item17_Reward_Bversion,1,control,Fake,17,1,1,1,1,1,2
